series_id,base_temperature_high,surface_xx-small,surface_x-small,surface_small,surface_medium,surface_large,surface_x-large,surface_xx-large,building_isOn,unique_building
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,0,2
100004,0,0,0,0,0,0,1,0,0,2
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,0,2
100004,0,0,0,0,0,0,1,0,0,2
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,0,1,0,1,3
100010,0,0,1,0,0,0,0,0,1,11
100012,0,0,0,0,0,0,1,0,0,2
100020,0,0,0,0,1,0,0,0,0,6
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,0,6
100020,0,0,0,0,1,0,0,0,0,6
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,1,7
100020,0,0,0,0,1,0,0,0,0,6
100028,0,0,1,0,0,0,0,0,1,11
100028,0,0,1,0,0,0,0,0,1,11
100028,0,0,1,0,0,0,0,0,1,11
100028,0,0,1,0,0,0,0,0,0,10
100028,0,0,1,0,0,0,0,0,0,10
100028,0,0,1,0,0,0,0,0,1,11
100028,0,0,1,0,0,0,0,0,1,11
100049,0,0,1,0,0,0,0,0,1,11
100050,0,0,0,0,0,0,0,1,1,1
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,0,4
100054,0,0,0,0,0,1,0,0,0,4
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,1,5
100054,0,0,0,0,0,1,0,0,0,4
100054,0,0,0,0,0,1,0,0,0,4
100062,1,0,0,0,0,0,0,1,0,14
100062,1,0,0,0,0,0,0,1,0,14
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,0,14
100062,1,0,0,0,0,0,0,1,0,14
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100062,1,0,0,0,0,0,0,1,1,15
100069,0,0,0,0,0,1,0,0,1,5
100069,0,0,0,0,0,1,0,0,1,5
100069,0,0,0,0,0,1,0,0,1,5
100069,0,0,0,0,0,1,0,0,1,5
100069,0,0,0,0,0,1,0,0,1,5
100069,0,0,0,0,0,1,0,0,0,4
100069,0,0,0,0,0,1,0,0,0,4
100071,0,0,1,0,0,0,0,0,0,10
100071,0,0,1,0,0,0,0,0,0,10
100071,0,0,1,0,0,0,0,0,1,11
100071,0,0,1,0,0,0,0,0,1,11
100071,0,0,1,0,0,0,0,0,1,11
100071,0,0,1,0,0,0,0,0,1,11
100071,0,0,1,0,0,0,0,0,1,11
100072,0,0,0,0,1,0,0,0,0,6
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,0,6
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100072,0,0,0,0,1,0,0,0,1,7
100074,0,0,0,0,0,0,1,0,1,3
100074,0,0,0,0,0,0,1,0,1,3
100074,0,0,0,0,0,0,1,0,1,3
100074,0,0,0,0,0,0,1,0,0,2
100074,0,0,0,0,0,0,1,0,0,2
100074,0,0,0,0,0,0,1,0,1,3
100074,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,0,2
100078,0,0,0,0,0,0,1,0,0,2
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,1,3
100078,0,0,0,0,0,0,1,0,0,2
100078,0,0,0,0,0,0,1,0,0,2
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100082,0,0,1,0,0,0,0,0,1,11
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,0,8
100090,0,0,0,1,0,0,0,0,0,8
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,0,8
100090,0,0,0,1,0,0,0,0,0,8
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100090,0,0,0,1,0,0,0,0,1,9
100094,0,0,0,0,0,0,1,0,0,2
100094,0,0,0,0,0,0,1,0,1,3
100094,0,0,0,0,0,0,1,0,1,3
100094,0,0,0,0,0,0,1,0,1,3
100094,0,0,0,0,0,0,1,0,1,3
100094,0,0,0,0,0,0,1,0,1,3
100094,0,0,0,0,0,0,1,0,0,2
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,0,6
100096,0,0,0,0,1,0,0,0,0,6
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,1,7
100096,0,0,0,0,1,0,0,0,0,6
100096,0,0,0,0,1,0,0,0,0,6
100096,0,0,0,0,1,0,0,0,1,7
100099,0,0,0,0,0,1,0,0,0,4
100099,0,0,0,0,0,1,0,0,0,4
100099,0,0,0,0,0,1,0,0,1,5
100099,0,0,0,0,0,1,0,0,1,5
100099,0,0,0,0,0,1,0,0,1,5
100099,0,0,0,0,0,1,0,0,1,5
100099,0,0,0,0,0,1,0,0,1,5
100104,0,0,0,0,0,0,1,0,1,3
100104,0,0,0,0,0,0,1,0,1,3
100104,0,0,0,0,0,0,1,0,0,2
100104,0,0,0,0,0,0,1,0,0,2
100104,0,0,0,0,0,0,1,0,1,3
100104,0,0,0,0,0,0,1,0,1,3
100104,0,0,0,0,0,0,1,0,1,3
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,0,10
100110,0,0,1,0,0,0,0,0,0,10
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,0,10
100110,0,0,1,0,0,0,0,0,0,10
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100110,0,0,1,0,0,0,0,0,1,11
100111,0,0,0,1,0,0,0,0,1,9
100111,0,0,0,1,0,0,0,0,1,9
100111,0,0,0,1,0,0,0,0,1,9
100111,0,0,0,1,0,0,0,0,1,9
100111,0,0,0,1,0,0,0,0,1,9
100111,0,0,0,1,0,0,0,0,0,8
100111,0,0,0,1,0,0,0,0,0,8
100128,0,0,0,1,0,0,0,0,1,9
100128,0,0,0,1,0,0,0,0,1,9
100128,0,0,0,1,0,0,0,0,0,8
100128,0,0,0,1,0,0,0,0,0,8
100128,0,0,0,1,0,0,0,0,1,9
100128,0,0,0,1,0,0,0,0,1,9
100128,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100135,0,0,0,1,0,0,0,0,1,9
100146,0,0,0,1,0,0,0,0,1,9
100147,0,0,0,0,0,0,1,0,0,2
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,0,2
100147,0,0,0,0,0,0,1,0,0,2
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,1,3
100147,0,0,0,0,0,0,1,0,0,2
100148,0,0,0,0,0,0,1,0,1,3
100148,0,0,0,0,0,0,1,0,0,2
100148,0,0,0,0,0,0,1,0,0,2
100148,0,0,0,0,0,0,1,0,1,3
100148,0,0,0,0,0,0,1,0,1,3
100148,0,0,0,0,0,0,1,0,1,3
100148,0,0,0,0,0,0,1,0,1,3
100150,0,0,0,1,0,0,0,0,1,9
100150,0,0,0,1,0,0,0,0,1,9
100150,0,0,0,1,0,0,0,0,0,8
100150,0,0,0,1,0,0,0,0,0,8
100150,0,0,0,1,0,0,0,0,1,9
100150,0,0,0,1,0,0,0,0,1,9
100150,0,0,0,1,0,0,0,0,1,9
100164,1,0,0,0,0,0,1,0,0,16
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,0,16
100164,1,0,0,0,0,0,1,0,0,16
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,1,17
100164,1,0,0,0,0,0,1,0,0,16
100167,0,0,1,0,0,0,0,0,1,11
100202,0,0,0,0,0,0,1,0,1,3
100203,0,0,1,0,0,0,0,0,0,10
100204,0,0,0,1,0,0,0,0,0,8
100204,0,0,0,1,0,0,0,0,0,8
100204,0,0,0,1,0,0,0,0,1,9
100204,0,0,0,1,0,0,0,0,1,9
100204,0,0,0,1,0,0,0,0,1,9
100204,0,0,0,1,0,0,0,0,1,9
