series_id,base_temperature_high,surface_xx-small,surface_x-small,surface_small,surface_medium,surface_large,surface_x-large,surface_xx-large,building_isOn
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,0
100004,0,0,0,0,0,0,1,0,0
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,0
100004,0,0,0,0,0,0,1,0,0
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100010,0,0,1,0,0,0,0,0,1
100012,0,0,0,0,0,0,1,0,0
100020,0,0,0,0,1,0,0,0,0
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,0
100020,0,0,0,0,1,0,0,0,0
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,1
100020,0,0,0,0,1,0,0,0,0
100028,0,0,1,0,0,0,0,0,1
100028,0,0,1,0,0,0,0,0,1
100028,0,0,1,0,0,0,0,0,1
100028,0,0,1,0,0,0,0,0,0
100028,0,0,1,0,0,0,0,0,0
100028,0,0,1,0,0,0,0,0,1
100028,0,0,1,0,0,0,0,0,1
100049,0,0,1,0,0,0,0,0,1
100050,0,0,0,0,0,0,0,1,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,0
100054,0,0,0,0,0,1,0,0,0
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,1
100054,0,0,0,0,0,1,0,0,0
100054,0,0,0,0,0,1,0,0,0
100062,1,0,0,0,0,0,0,1,0
100062,1,0,0,0,0,0,0,1,0
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,0
100062,1,0,0,0,0,0,0,1,0
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100062,1,0,0,0,0,0,0,1,1
100069,0,0,0,0,0,1,0,0,1
100069,0,0,0,0,0,1,0,0,1
