series_id,base_temperature_high,surface_xx-small,surface_x-small,surface_small,surface_medium,surface_large,surface_x-large,surface_xx-large,building_isOn
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,1
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,0
100003,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100004,0,0,0,0,0,0,1,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,1
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,0
100006,0,0,1,0,0,0,0,0,1
100008,0,0,1,0,0,0,0,0,0
100008,0,0,1,0,0,0,0,0,0
100008,0,0,1,0,0,0,0,0,1
100008,0,0,1,0,0,0,0,0,1
100008,0,0,1,0,0,0,0,0,1
