series_id,surface_xx-small,surface_x-small,surface_small,surface_medium,surface_large,surface_x-large,surface_xx-large,building_isOn,unique_building
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,1,3
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,0,2
100003,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,1,0,1,3
100004,0,0,0,0,0,1,0,1,3
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,1,11
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,0,10
100006,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,0,10
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100008,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,0,10
100010,0,1,0,0,0,0,0,0,10
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,0,10
100010,0,1,0,0,0,0,0,0,10
100010,0,1,0,0,0,0,0,1,11
100010,0,1,0,0,0,0,0,1,11
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,0,2
100012,0,0,0,0,0,1,0,0,2
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100012,0,0,0,0,0,1,0,1,3
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,1,7
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,0,6
100017,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,0,6
100020,0,0,0,1,0,0,0,0,6
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,1,7
100020,0,0,0,1,0,0,0,0,6
100020,0,0,0,1,0,0,0,0,6
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,0,10
100021,0,1,0,0,0,0,0,0,10
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,1,11
100021,0,1,0,0,0,0,0,0,10
100021,0,1,0,0,0,0,0,0,10
100021,0,1,0,0,0,0,0,1,11
